parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,SA2_CODE21,GCC_NAME21
1,House,2024,1150.0,46 gore street,fitzroy,3065,3,2,-37.8071996,144.9820392,206071142,Greater Melbourne
2,House,2024,450.0,21 micropora drive,wyndham vale,3024,4,2,-37.8682125,144.629753,213051589,Greater Melbourne
1,Unit,2024,370.0,7/13 mcculloch street,essendon north,3041,1,1,-37.73961380000001,144.9031009,206031501,Greater Melbourne
2,House,2024,720.0,12 brentwood drive,avondale heights,3034,3,1,-37.7722639,144.8542191,210011533,Greater Melbourne
2,House,2024,475.0,21 firnberg street,kalkallo,3064,3,2,-37.5190722,144.9553114,210051445,Greater Melbourne
2,House,2024,1300.0,76 allison road,elsternwick,3185,4,3,-37.8824552,145.0129062,208021179,Greater Melbourne
3,Unit,2024,1100.0,1/192 argyle street,fitzroy,3065,3,2,-37.7982027,144.9825558,206071142,Greater Melbourne
2,House,2024,560.0,25 masthead way,werribee south,3030,4,2,-37.963369,144.707632,213051368,Greater Melbourne
0,Unit,2024,440.0,7/5 may street,elwood,3184,2,1,-37.8790481,144.9919057,206051129,Greater Melbourne
1,Unit,2024,590.0,8/847 burwood road,hawthorn east,3123,2,2,-37.8250853,145.057233,207011152,Greater Melbourne
2,Unit,2024,700.0,46/121 rathdowne street,carlton,3053,3,1,-37.8042272,144.9690866,206041117,Greater Melbourne
2,Townhouse,2024,470.0,18 wetherby road,wyndham vale,3024,4,2,-37.8439249,144.5923764,213051589,Greater Melbourne
1,Townhouse,2024,650.0,8 kopje place,narre warren,3805,2,2,-38.0080892,145.2939875,212021456,Greater Melbourne
1,House,2024,520.0,10 mira street,blackburn,3130,3,1,-37.844057,145.1432428,207031162,Greater Melbourne
2,House,2024,750.0,16 bremer circuit,keysborough,3173,4,2,-38.0013757,145.1836323,212041566,Greater Melbourne
0,Unit,2024,1475.0,2205/687 latrobe sreet,docklands,3008,3,2,-37.8146734,144.9465087,206041118,Greater Melbourne
4,House,2024,500.0,1 aden court,thomastown,3074,3,1,-37.6733456,145.0060144,209041223,Greater Melbourne
1,House,2024,261.0,carpark 2504/462 elizabeth street,melbourne,3000,0,0,-37.807859,144.960611,206041504,Greater Melbourne
1,Unit,2024,500.0,413a/72 ascot vale road,flemington,3031,1,1,-37.7840953,144.9230675,206031115,Greater Melbourne
1,Unit,2024,580.0,3/62 napier crescent,essendon,3040,2,1,-37.7474048,144.9216749,206031502,Greater Melbourne
2,House,2024,460.0,22 nivea street,mambourin,3024,3,2,-37.8896461,144.5996928,213051468,Greater Melbourne
0,Unit,2024,450.0,305/435-439 whitehorse road,mitcham,3132,1,1,-37.8167931,145.1876603,211041270,Greater Melbourne
2,House,2024,610.0,13 catalonia way,berwick,3806,4,2,-38.0755623,145.3699054,212021553,Greater Melbourne
2,Unit,2024,1100.0,401/491 victoria street,west melbourne,3003,3,2,-37.8046993,144.9436156,206041510,Greater Melbourne
2,House,2024,1150.0,28a abbotsford avenue,malvern east,3145,4,3,-37.8814537,145.0832993,208041195,Greater Melbourne
1,Townhouse,2024,550.0,unit 6/34 grevillia road,oak park,3046,2,2,-37.7186867,144.9270313,210031538,Greater Melbourne
0,Unit,2024,700.0,45 dudley st,west melbourne,3003,2,2,-37.8099795,144.9509744,206041510,Greater Melbourne
2,House,2024,540.0,15 montasell avenue,deer park,3023,4,2,-37.7685656,144.7768211,213011569,Greater Melbourne
0,Unit,2024,600.0,4011/81 city road,southbank,3006,1,1,-37.8223284,144.9652936,206041509,Greater Melbourne
2,House,2024,540.0,1 waterhaven place,doreen,3754,3,2,-37.6059251,145.1078085,209041528,Greater Melbourne
0,House,2024,975.0,40 rowena parade,richmond,3121,2,1,-37.8206549,144.99171,206071517,Greater Melbourne
1,Unit,2024,930.0,1502/8 bowen crescent,melbourne,3004,3,2,-37.83536160000001,144.9725185,206051128,Greater Melbourne
2,House,2024,550.0,8 canning street,avondale heights,3034,3,1,-37.7705166,144.8681154,210011533,Greater Melbourne
1,Unit,2024,650.0,161/480 la trobe street,melbourne,3000,2,1,-37.8104845,144.9609817,206041504,Greater Melbourne
1,Unit,2024,700.0,902/21 healeys lane,melbourne,3000,2,1,-37.8135217,144.9557383,206041505,Greater Melbourne
1,House,2024,530.0,32a dowling avenue,hoppers crossing,3029,3,2,-37.8664943,144.6787651,213051362,Greater Melbourne
2,Townhouse,2024,695.0,51b allanfield crescent,boronia,3155,4,3,-37.8619679,145.2544277,211011446,Greater Melbourne
0,Unit,2024,560.0,10/668 bourke street,melbourne,3000,1,1,-37.8165887,144.9542063,206041505,Greater Melbourne
2,House,2024,590.0,5 mosig court,hampton park,3976,4,1,-38.0382006,145.2512476,212031562,Greater Melbourne
2,House,2024,500.0,7 perceval place,mambourin,3024,4,2,-37.8913338,144.5954374,213051468,Greater Melbourne
1,Unit,2024,550.0,2/16 glendale road,springvale,3171,2,1,-37.9380736,145.1503883,212041317,Greater Melbourne
2,House,2024,700.0,16 lorikeet court,sunshine north,3020,4,3,-37.7673482,144.8503267,213011337,Greater Melbourne
1,Unit,2024,470.0,2/12 hanley street,avondale heights,3034,2,1,-37.7610338,144.8561307,210011533,Greater Melbourne
2,House,2024,460.0,2 pyramid street,bonnie brook,3335,3,2,-37.7114937,144.6900516,213041574,Greater Melbourne
1,Unit,2024,680.0,204/757 toorak road,hawthorn east,3123,2,2,-37.8449443,145.0423684,207011152,Greater Melbourne
1,Unit,2024,1120.0,100/1520 dandenong road,oakleigh,3166,1,1,-37.8988787,145.1015826,212051326,Greater Melbourne
2,House,2024,1050.0,34 bird avenue,northcote,3070,4,2,-37.7614624,144.9895671,206021112,Greater Melbourne
1,Unit,2024,700.0,112/2 hobson street,south yarra,3141,2,2,-37.8477329,145.001836,206061516,Greater Melbourne
0,Unit,2024,1113.0,1410/1 freshwater place,southbank,3006,1,1,-37.8219262,144.962153,206041508,Greater Melbourne
2,House,2024,620.0,29 home road,point cook,3030,4,2,-37.9005581,144.7359754,213051466,Greater Melbourne
2,House,2024,640.0,2 trojan crescent,clyde north,3978,4,2,-38.0880881,145.3411805,212031555,Greater Melbourne
1,House,2024,2800.0,101 beaconsfield parade,albert park,3206,4,2,-37.847715,144.9493643,206051128,Greater Melbourne
2,House,2024,950.0,5 hyslop parade,malvern east,3145,4,2,-37.8805936,145.0736232,208041195,Greater Melbourne
2,Townhouse,2024,590.0,2/6 bothwell street,pascoe vale,3044,3,2,-37.7258061,144.9253785,210031537,Greater Melbourne
1,House,2024,700.0,298 warrigal road,oakleigh south,3167,3,2,-37.9176417,145.0839731,212051326,Greater Melbourne
1,Unit,2024,500.0,706/38 mt alexander road,travancore,3032,2,1,-37.7847945,144.9386461,206031115,Greater Melbourne
1,Unit,2024,620.0,101/7-9 cowra street,brighton,3186,2,1,-37.904925,145.007231,208011169,Greater Melbourne
1,Unit,2024,490.0,212/4-6 station street,moorabbin,3189,2,1,-37.93526660000001,145.0372111,208031191,Greater Melbourne
0,House,2024,630.0,293 richardson street,carlton north,3054,2,1,-37.7840809,144.9656152,206071140,Greater Melbourne
2,House,2024,580.0,5 deborah court,somerville,3912,3,1,-38.2309727,145.1599238,214021385,Greater Melbourne
2,Unit,2024,575.0,1/25 auburn grove,hawthorn east,3123,2,1,-37.8254466,145.0479044,207011152,Greater Melbourne
2,House,2024,540.0,2 riviera court,fawkner,3060,3,1,-37.6903943,144.9635423,210051243,Greater Melbourne
2,House,2024,620.0,57 gatcum court,noble park,3174,4,1,-37.9645225,145.1841661,212041459,Greater Melbourne
1,Unit,2024,345.0,2/30 bowmore road,noble park,3174,1,1,-37.9576112,145.1762072,212041459,Greater Melbourne
2,House,2024,1250.0,35 branksome grove,blackburn south,3130,4,2,-37.8340844,145.1422897,207031162,Greater Melbourne
2,House,2024,850.0,3/10 charming street,hampton east,3188,3,3,-37.9337879,145.0307257,208011172,Greater Melbourne
1,Unit,2024,400.0,5/6 camira street,malvern east,3145,1,1,-37.8901043,145.0873254,208041195,Greater Melbourne
2,Townhouse,2024,415.0,12 dawson street,thornhill park,3335,3,2,-37.7198877,144.6233801,213041359,Greater Melbourne
2,House,2024,750.0,9 blenheim avenue,glen waverley,3150,4,2,-37.8799604,145.1832141,212051321,Greater Melbourne
1,Unit,2024,820.0,4/105 murray street,caulfield,3162,2,2,-37.8853696,145.0195381,208021178,Greater Melbourne
2,House,2024,500.0,6 bungalook street,wyndham vale,3024,4,2,-37.8645308,144.6020006,213051579,Greater Melbourne
2,House,2024,695.0,14 dolomite boulevard,clyde north,3978,4,2,-38.0947644,145.3459914,212031556,Greater Melbourne
0,Unit,2024,550.0,1706/601 little lonsdale street,melbourne,3000,1,1,-37.8137438,144.9536855,206041505,Greater Melbourne
2,House,2024,630.0,5 wisdom avenue,truganina,3029,4,2,-37.8508483,144.7154848,213051588,Greater Melbourne
2,House,2024,600.0,6 whitfield crescent,craigieburn,3064,4,2,-37.5905195,144.8942047,210051543,Greater Melbourne
2,House,2024,780.0,120 green street,ivanhoe,3079,3,2,-37.7639007,145.0304721,209011200,Greater Melbourne
2,Townhouse,2024,920.0,2/11 fortuna street,clayton,3168,4,3,-37.9192746,145.1288649,212051568,Greater Melbourne
1,Unit,2024,620.0,3/778-780 hampton street,brighton,3186,2,1,-37.917752,145.006873,208011170,Greater Melbourne
1,Unit,2024,550.0,403f/54 la scala avenue,maribyrnong,3032,2,1,-37.78096730000001,144.8940064,213031349,Greater Melbourne
1,Unit,2024,475.0,608/333 ascot vale road,moonee ponds,3039,1,1,-37.7683858,144.9244458,206031116,Greater Melbourne
2,House,2024,3000.0,2/10 park ave,richmond,3121,3,3,-37.8210665,145.0138193,206071517,Greater Melbourne
1,Unit,2024,490.0,2/23 beaconsfield road,briar hill,3088,2,1,-37.7089868,145.1152369,209011202,Greater Melbourne
2,House,2024,560.0,27 flag boulevard,tarneit,3029,4,3,-37.8132867,144.6743684,213051584,Greater Melbourne
1,Unit,2024,610.0,21/530 toorak road,toorak,3142,2,1,-37.8423607,145.0184229,206061138,Greater Melbourne
2,House,2024,690.0,2/47 ashburn grove,ashburton,3147,3,1,-37.8678758,145.080305,207011146,Greater Melbourne
1,Unit,2024,700.0,g08w/189 powlett street,east melbourne,3002,2,2,-37.8104068,144.9859454,206041119,Greater Melbourne
