,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,dist_to_city,dist_to_education,dist_to_parks_and_gardens,dist_to_train_station,dist_to_shopping,dist_to_healthcare,SA2_CODE21,SA2_NAME21,GCC_NAME21
78,78,78,78,1,Unit,2024,535.0,8/17 buckworth street,kialla,3631.0,3,2,-36.4110021,145.3904723,3.4477,2.04233,2.19044,4.401140000000001,0.55179,3.6335,216031593,Kialla,Rest of Vic.
79,79,79,79,1,House,2024,450.0,2/14a nelson street,california gully,3556.0,2,2,-36.7299553,144.2609312,4.49256,1.0888,1.47727,2.5356,1.53248,3.02057,202011019,California Gully - Eaglehawk,Rest of Vic.
80,80,80,80,1,Townhouse,2024,450.0,1,whittington,3219.0,3,2,-38.1801725,144.4009559,6.22726,1.5769300000000002,1.22916,6.34482,1.18605,1.04588,203021045,Newcomb - Moolap,Rest of Vic.
81,81,81,81,2,House,2024,550.0,171 mcglone road,drouin,3818.0,3,2,-38.0996117,145.824143,75.11032,6.05155,4.78127,6.36068,6.1641,6.40446,205011076,Drouin,Rest of Vic.
82,82,82,82,2,Townhouse,2024,680.0,235a roslyn road,highton,3216.0,3,2,-38.17320460000001,144.3227214,5.53844,0.7919700000000001,0.81817,4.394819999999999,0.47607,2.1063400000000003,203021042,Highton,Rest of Vic.
83,83,83,83,1,Unit,2024,350.0,unit 1/54 hawdon st,shepparton,3630.0,2,1,-36.3731814,145.4146438,2.58911,0.3854599999999999,1.06345,2.3103800000000003,1.59623,0.7436799999999999,216031416,Shepparton - North,Rest of Vic.
84,84,84,84,2,House,2024,405.0,1617 sturt street,alfredton,3350.0,2,2,-37.5547699,143.8157808,4.26249,0.23007,0.55686,2.84344,0.55549,3.95005,201011001,Alfredton,Rest of Vic.
85,85,85,85,0,House,2024,650.0,904 davenport road,learmonth,3352.0,3,2,-37.4474767,143.6999563,22.524330000000003,10.5473,5.90097,17.11225,12.07709,18.79916,201021010,Creswick - Clunes,Rest of Vic.
86,86,86,86,3,House,2024,560.0,204 seymour street,soldiers hill,3350.0,3,3,-37.5555741,143.8600935,1.1481400000000002,0.97894,0.87174,0.55926,1.00173,0.95281,201011482,Ballarat North - Invermay,Rest of Vic.
87,87,87,87,1,Townhouse,2024,480.0,1/179 church street,cowes,3922.0,3,2,-38.4524863,145.2270642,140.861,1.73681,1.12024,111.51001,0.99223,1.23034,205031091,Phillip Island,Rest of Vic.
88,88,88,88,2,House,2024,450.0,66 elegante road,winter valley,3358.0,4,2,-37.5796583,143.7948474,8.37463,3.24294,2.20922,7.78497,2.80637,8.245149999999999,201011006,Delacombe,Rest of Vic.
89,89,89,89,1,Unit,2024,450.0,9/23 hallam street,quarry hill,3550.0,2,1,-36.7738796,144.2863285,2.6375900000000003,0.69124,0.49924,1.79042,2.21726,0.6878500000000001,202011021,Flora Hill - Spring Gully,Rest of Vic.
90,90,90,90,3,House,2024,470.0,105 ballarat road,bell park,3215.0,3,1,-38.1189464,144.3332442,5.3341400000000005,1.19908,1.00749,2.68311,1.57095,0.8584700000000001,203021047,North Geelong - Bell Park,Rest of Vic.
91,91,91,91,2,House,2024,630.0,6 conder parade,clifton springs,3222.0,4,2,-38.16680119999999,144.5582113,19.80122,0.6906100000000001,0.99555,20.75555,2.12514,2.30835,203031048,Clifton Springs,Rest of Vic.
92,92,92,92,2,House,2024,550.0,195 mccallum street,swan hill,3585.0,4,1,-35.3403187,143.5420728,189.18023,1.25484,1.23391,2.55798,2.17135,1.71675,215031404,Swan Hill,Rest of Vic.
93,93,93,93,2,House,2024,500.0,41 rowands street,mount duneed,3217.0,4,2,-38.2327958,144.3311304,10.92118,1.33399,1.5015999999999998,5.01338,1.4553900000000002,4.305149999999999,203021487,Grovedale - Mount Duneed,Rest of Vic.
94,94,94,94,2,House,2024,430.0,14 wexford court,corio,3214.0,3,1,-38.0727307,144.3514088,10.91805,0.46213,0.6013999999999999,3.75308,1.15741,2.59669,203021486,Corio - Lovely Banks,Rest of Vic.
95,95,95,95,2,House,2024,510.0,69 iris loop,armstrong creek,3217.0,4,2,-38.2443696,144.3465871,12.77634,0.92803,1.04447,6.18711,3.2304,6.08016,203021485,Charlemont,Rest of Vic.
96,96,96,96,2,House,2024,490.0,28 cole street,herne hill,3218.0,3,2,-38.1291677,144.3225289,5.301399999999999,0.5199199999999999,0.49182,3.5643,2.42653,3.25724,203021040,Geelong West - Hamlyn Heights,Rest of Vic.
97,97,97,97,2,House,2024,380.0,9 whittakers rd,traralgon,3844.0,2,1,-38.1986433,146.5436591,1.1150799999999998,1.25775,1.16539,0.7175199999999999,0.4802,0.8121799999999999,205041493,Traralgon - East,Rest of Vic.
